product_name,product_link,product_price,product_rating,no_rating,page_no
COSMUS Vogue Casual Laptop Backpack with USB Charger Port 46cm 26 Litre Maroon College Bag,https://www.amazon.in/Cosmus-Casual-Backpack-Charger-College/dp/B09HX54TGF/ref=sr_1_222?crid=2M096C61O4MLT&keywords=bags&qid=1685048365&sprefix=ba%2Caps%2C283&sr=8-222,"1,261.00",4.2,"1,390 ratings",14
Martucci Large 35 L Backpack Spacy Unisex/College/School/Travel Backpack with Rain Cover and Reflective Strip,https://www.amazon.in/Martucci-Backpack-College-Reflective-Airport/dp/B0B7DVC3TL/ref=sr_1_223?crid=2M096C61O4MLT&keywords=bags&qid=1685048365&sprefix=ba%2Caps%2C283&sr=8-223,765,4,"1,138 ratings",14
Wooum Laptop Bag Laptop Backpack with 15.6 Inch Padded Compartment - Water Resistance Light Weight (RedZip),https://www.amazon.in/Backpack-Fashion-Student-Business-Black-RedZip/dp/B08R7N1N1W/ref=sr_1_224?crid=2M096C61O4MLT&keywords=bags&qid=1685048365&sprefix=ba%2Caps%2C283&sr=8-224,398,3.9,461 ratings,14
"Hammonds Flycatcher Genuine Leather Laptop Bag for Men/Office Bag for Men, Brown | Fits Upto 16 Inch Laptop/MacBook | Leather Bag with Shoulder Straps | Laptop Messenger Bag/Leather Bag for Men",https://www.amazon.in/Hammonds-Flycatcher-Brown-Mens-Laptop/dp/B01LYDRI9V/ref=sr_1_225?crid=2M096C61O4MLT&keywords=bags&qid=1685048365&sprefix=ba%2Caps%2C283&sr=8-225,"2,899.00",4.4,"2,412 ratings",14
Wooum Sling Cross Body Bag/One Side Bag/Shoulder Bag/Office Business Messenger Bag/Money Bag for Men and Women - Water Resisitance,https://www.amazon.in/Wooum-Resisitance-Shoulder-Business-Messenger/dp/B0993Q72WD/ref=sr_1_226?crid=2M096C61O4MLT&keywords=bags&qid=1685048365&sprefix=ba%2Caps%2C283&sr=8-226,328,4,660 ratings,14
Gear ECO 1 Black Orange Red Laptop Backpack,https://www.amazon.in/Gear-Polyester-Laptop-Backpack-LBPECO1000109/dp/B012NW1H1I/ref=sr_1_227?crid=2M096C61O4MLT&keywords=bags&qid=1685048365&sprefix=ba%2Caps%2C283&sr=8-227,799,4.3,"1,379 ratings",14
"Hammonds Flycatcher Genuine Leather Laptop Bag for Men/Office Bag for Men, Brown | Fits Upto 14 Inch Laptop/MacBook | Leather Bag with Shoulder Straps | Laptop Messenger Bag/Leather Bag for Men |",https://www.amazon.in/Hammonds-Flycatcher-Genuine-Leather-Messenger/dp/B07MDTVDQH/ref=sr_1_228?crid=2M096C61O4MLT&keywords=bags&qid=1685048365&sprefix=ba%2Caps%2C283&sr=8-228,"2,389.00",4.4,"1,657 ratings",14
UNISKY Sling Bag 3015||SIDE BAG||Cross Body BAG||PASSPORT BAG||SMALL PICNIC BAG||LUNCH BAG||FOR BOYS AND GIRLS||FOR MEN AND WOMEN||WATERPROOF SMALL SLING BAG,https://www.amazon.in/Unisky-Sling-PASSPORT-PICNIC-WATERPROOF/dp/B0B19S6GPR/ref=sr_1_228?crid=2M096C61O4MLT&keywords=bags&qid=1685048367&sprefix=ba%2Caps%2C283&sr=8-228,249,4.3,96 ratings,15
Puma Unisex Gym Bag IND,https://www.amazon.in/PUMA-Gym-Bag-IND-Fig-CASTLEROCK/dp/B089T98TKG/ref=sr_1_229?crid=2M096C61O4MLT&keywords=bags&qid=1685048367&sprefix=ba%2Caps%2C283&sr=8-229,853,4,443 ratings,15
The Purple Tree Cotton Canvas Tote Bags For Women a,https://www.amazon.in/Purple-Tree-Canvas-Tote-Women/dp/B07PFVDWGX/ref=sr_1_230?crid=2M096C61O4MLT&keywords=bags&qid=1685048367&sprefix=ba%2Caps%2C283&sr=8-230,349,4.1,125 ratings,15
"Storite Nylon 40 Cm Imported Travel Duffle Bag, Expandable Folding Travel Bag for Women, Lightweight Waterproof Carry Weekender Overnight Luggage Bag for Travel (Pink, 40 x 23 x 45 Cm)",https://www.amazon.in/Storite-Travel-Bag-Lightweight-Waterproof/dp/B0B24Z8KBV/ref=sr_1_231?crid=2M096C61O4MLT&keywords=bags&qid=1685048367&sprefix=ba%2Caps%2C283&sr=8-231,998,4.1,653 ratings,15
Lavie Women's Denali Emboss Sling Bag | Ladies Purse Handbag,https://www.amazon.in/Lavie-Denali-Womens-Sling-Purple/dp/B07SMBDZZY/ref=sr_1_232?crid=2M096C61O4MLT&keywords=bags&qid=1685048367&sprefix=ba%2Caps%2C283&sr=8-232,918,4.1,324 ratings,15
